ID,Title,Organisation,school/sub-org,Country,Full programme / Module,Level,Start year of prog/module,Latest offering,Lat,Long,Homepage,Syllabus,instructor 1,instructor Academic/Professional,instructor 2,Instructor Twitter
BH173,Data Journalism and Visualization,Gothenburg University,"Department of Journalism, Media and Communication",Sweden,Module,PG,,2017,57.6896523,11.9766811,https://gul.gu.se/public/courseId/78694/lang-en/publicPage.do,https://gul.gu.se/public/pp/public_courses/course78694/published/1490370940085/resourceId/36619523/content/UploadedResources/JU2602%20study%20guide%20spring%2017-1.pdf,"Jenny Wiik,Ê",Academic,"Sandra Foresti , and a group of guest from industry and academia",
BH174,Data Journalism,University of Queensland,School of Communication and Arts,Australia,Module,UG,2017,2018,-27.4974181,153.0131696,https://www.uq.edu.au/study/course.html?course_code=JOUR3000,,Daniel Angus,Academic,Mary Harris,
BH175,"Data Journalism (Specialisation part of MSc in Communication and Information Science, stopped in 2016)",Tilburg University,School of Humanities,Netherlands,Programme,PG,2012,2016,51.5630608,5.0435985,https://mystudy.uvt.nl/it10.owp?taal=n&pfac=FGW&variantcode=2Q318&ajaar=2016,https://stefaniamilan.net/precision-journalism,,,,
BH176,Journalistic Data Analysis,Tilburg University,School of Humanities,Netherlands,Module,PG,,2016,51.5630608,5.0435985,https://mystudy.uvt.nl/it10.vakzicht?taal=n&pfac=FGW&vakcode=822042,,dr. R.M.F. Koolen (coordinator),Academic,dr. R. van Enschot-van Dijk,
BH177,Precision Journalism,Tilburg University,School of Humanities,Netherlands,Module,PG,,2016,51.5630608,5.0435985,https://mystudy.uvt.nl/it10.vakzicht?taal=e&pfac=FGW&vakcode=822035,,"dr. R. van Enschot-van Dijk (coordinator),dr. E.A. Keuleers",Academic,Maya Perelman,
BH178,Data Journalism Practice,Tilburg University,School of Humanities,Netherlands,Module,PG,,2017,51.5630608,5.0435985,https://mystudy.uvt.nl/it10.vakzicht?taal=n&pfac=FGW&vakcode=822037,,dr. R. van Enschot-van Dijk,Academic,,
BH179,Data Journalism,Arizona State University (ASU),Walter Cronkite School of Journalism and Mass Communication,USA,Module,UG,2015,2018,35.95422,-90.45997,https://webapp4.asu.edu/catalog/course?s=MCO&n=510&c=DTPHX&t=2181&f=INTRT&r=30023,http://3lnpfy2rzib2a8ms437q0yj1.wpengine.netdna-cdn.com/wp-content/uploads/2013/04/SyllabusMCO510Fall2016-Wyloge-2.docx,Steve Doig,"Academic, ex professional",Steven S. Ross,@sdoig
BH180,Telling Stories with Data (former Precision Journalism),Arizona State University (ASU),Walter Cronkite School of Journalism and Mass Communication,USA,Module,UG,2016 (2008 - 2015 Precision Journalism),2018,35.95422,-90.45997,https://webapp4.asu.edu/catalog/course?s=JMC&n=465&c=&t=2181&f=&r=&i=106657,http://3lnpfy2rzib2a8ms437q0yj1.wpengine.netdna-cdn.com/wp-content/uploads/2013/04/SyllabusJMC465Fall2016-Wyloge-2.docx,Evan Wyloge,Academic Professional,Kevin Robinson,@EvanWyloge
BH181,"The Lede Program, a data and computing program",Columbia University,http://ledeprogram.com/,USA,Programme,N/A,,2017,40.8419836,-73.9436897,http://ledeprogram.com/,https://github.com/ledeprogram/courses,Jonathan Soma (Director and adjunct faculty) and others as instructors,"Mix, but mostly Professional",Jennifer LaFleur,@dangerscarf
BH182,Enterprise Reporting with Data,Northwestern University,Medill School of Journalism,USA,Module,PG,,2017,42.0551164,-87.6758111,http://www.northwestern.edu/class-descriptions/4660/JOUR/JOUR/425-3/33252.html,,Scott Bartlett Anderson,Professional (even though listed as Assistant Prof),,
BH183,Advanced Data and Mapping,Northwestern University,Medill School of Journalism,USA,Module,PG,,2016,42.0551164,-87.6758111,http://www.northwestern.edu/class-descriptions/4620/JOUR/JOUR/480-0/31396.html,http://3lnpfy2rzib2a8ms437q0yj1.wpengine.netdna-cdn.com/wp-content/uploads/2013/04/syllabus-advancedData-spring.docx,Darnell Little,"Professional (mainly), Academic",,
BH184,Data Journalism (Periodismo de Datos),"University Diego Portales, Santiago",FACULTAD DE COMUNICACIîN Y LETRAS,Chile,Module,UG,,2017,-33.45694,-70.64827,http://comunicacionyletras.udp.cl/periodismo/malla-curricular/,http://3lnpfy2rzib2a8ms437q0yj1.wpengine.netdna-cdn.com/wp-content/uploads/2013/04/Per9315-Periodismo-de-Datos.pdf,,,,
BH185,Data-driven Storytelling,University of Massachusetts at Amherst,Journalism Department,USA,Module,UG,,2017,42.97839,-78.79976,https://www.umass.edu/journalism/397dj-data-driven-storytelling,https://docs.google.com/document/d/1XNXb6nkr61mRMx0zIMBzB-fTkcL-OmhdPTjkxMvu59E/view,Rodrigo Zamith,Academic,,@rodzam
BH186,Journalisme de donnes,University of Neuch‰tel,,Switzerland,,,,,46.993855,6.938703,,,,,,
BH187,Computer Assisted Reporting,Virginia Commonwealth University,Richard T. Robertson School of Media and Culture,USA,Module,UG,,2017,37.548215,-77.4530642,,https://www.google.ie/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0ahUKEwjn9uH52vfWAhWBVhoKHfOOAxEQFggoMAE&url=https%3A%2F%2Fwiki.vcu.edu%2Fdownload%2Fattachments%2F71018994%2FMASC644-901-Fall2017.doc%3Fversion%3D1%26modificationDate%3D1505149046523%26api%3Dv2&usg=AOvVaw0MdSHgietPzsX9aXmQzR1E,Jeff South,"Academic, ex professional",,@jcsouth
BH188,Web Development for Media,Georgetown University,,USA,Module,,2014,2017,38.9089393,-77.0745796,http://webdevclass.greglinch.com/,https://github.com/jeremyjbowers/MPJO-779-01-FALL2014,Greg Lynch,Professional,Jeremy Bowers (former instructor),@greglinch
BH189,Digital Frameworks,Northwestern University (Washington D.C. campus),,USA,Module,PG,2016,2017,42.05559,-87.6745,https://digitalframeworks.github.io/,https://digitalframeworks-spring2017.github.io/,David Eads,Professional,,@eads
BH19,Data-driven Interactive Journalism,City University of New York,CUNY Graduate School of Journalism,USA,Module,,,,,,,,,,,
