Title,Company,Location,Post_Date,URL,Current Status,Source,Real,data,dataset,data analysis
All Media Journalist IV,Cox Media Group,"Dayton, OH",2018-11-01 17:37:12,https://www.indeed.com/viewjob?jk=a89042cd2907926d,nan,indeed,True,nan,nan,nan
"Intern, Multimedia Journalist",AccuWeather,"State College, PA",2018-11-01 17:37:08,https://www.indeed.com/viewjob?jk=147db325ddad9d7a,nan,indeed,True,nan,nan,nan
Technology Editor,Air Force Association,"Arlington, VA 22201 (Lyon Village area)",2018-10-31 17:39:32,https://www.indeed.com/viewjob?jk=f55350ecba03b12f,nan,indeed,True,nan,nan,nan
Markets Reporter - ICIS - Houston,Reed Business Information,"Houston, TX",2018-10-31 17:38:16,https://www.indeed.com/viewjob?jk=bc42b78825463e9b,nan,indeed,True,6.0,nan,nan
Business News Reporter,Acuris,"Charlottesville, VA",2018-10-31 17:37:55,https://www.indeed.com/viewjob?jk=7ea2f1e7825511e1,nan,indeed,True,1.0,nan,nan
Morning Show Reporter / MMJ,TEGNA,"Portland, ME",2018-10-31 17:37:42,https://www.indeed.com/viewjob?jk=d5f42d4f99f91b82,nan,indeed,True,nan,nan,nan
Anchor / Multi-Skilled Journalist (MSJ / MMJ),TEGNA,"San Diego, CA",2018-10-31 17:37:10,https://www.indeed.com/viewjob?jk=7dee70c62ab3c3d6,nan,indeed,True,nan,nan,nan
Graphics Editor,Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-30 17:38:56,https://www.indeed.com/viewjob?jk=0e3fa10a485e2eca,nan,indeed,True,1.0,nan,nan
Reporter,Hearst Television Inc.,"Pittsburgh, PA",2018-10-30 17:37:29,https://www.indeed.com/viewjob?jk=0f107419be4fb9c1,nan,indeed,True,nan,nan,nan
Consultant-Visual Journalist,IU Health Fairbanks,"Indianapolis, IN 46202",2018-10-30 17:37:10,https://www.indeed.com/viewjob?jk=92aace3e733916ca,nan,indeed,True,nan,nan,nan
Journalist,Duta,"Los Altos, CA 94022",2018-10-29 17:37:00,https://www.indeed.com/viewjob?jk=ae14a79259ef7438,nan,indeed,True,nan,nan,nan
"Sr. Content Editor, Politics",Tribune Publishing,"Orlando, FL",2018-10-28 17:38:16,https://www.indeed.com/viewjob?jk=891d345286f385ef,nan,indeed,True,nan,nan,nan
Multimedia Journalist/ Reporter,The E.W. Scripps Company,"Tulsa, OK 74105",2018-10-28 17:37:27,https://www.indeed.com/viewjob?jk=b40395564e020d1a,nan,indeed,True,nan,nan,nan
Foreign Policy Correspondent (Level 1 Journalist),Thomson Reuters,"Washington, DC 20005 (Logan Circle area)",2018-10-28 17:37:04,https://www.indeed.com/viewjob?jk=0c91891e3f09d7ea,nan,indeed,True,nan,nan,nan
"Adjunct Instructor, Spies Like Us: Operational Security and Tradecraft for Journalists",USC,"Los Angeles, CA",2018-10-27 17:39:38,https://www.indeed.com/viewjob?jk=d3c35cd2f024b644,nan,indeed,True,nan,nan,nan
Video Editor,Circa,"Culver City, CA",2018-10-27 17:39:01,https://www.indeed.com/viewjob?jk=abd7738e50c36f63,nan,indeed,True,nan,nan,nan
Reporter / MSJ,TEGNA,"San Antonio, TX",2018-10-27 17:38:38,https://www.indeed.com/viewjob?jk=4ed3ee06dc29e337,nan,indeed,True,nan,nan,nan
"Editor, Tech - CNN Business",Time Warner,"San Francisco, CA",2018-10-27 17:38:33,https://www.indeed.com/viewjob?jk=df7401ae20c18e4d,nan,indeed,True,nan,nan,nan
Editor - KTNV,The E.W. Scripps Company,"Las Vegas, NV 89102 (Rancho Charleston area)",2018-10-27 17:38:07,https://www.indeed.com/viewjob?jk=33ff487f52c4bac1,nan,indeed,True,nan,nan,nan
Reporter,Digital First Media,"Temecula, CA",2018-10-27 17:38:00,https://www.indeed.com/viewjob?jk=5bb1bf7be8e187cf,nan,indeed,True,nan,nan,nan
Editorial Assistant/Assistant Editor,HarperCollins Publishers Inc.,"New York, NY",2018-10-27 17:37:25,https://www.indeed.com/viewjob?jk=91a85e7fc236ea5a,nan,indeed,True,nan,nan,nan
"News Assistant, Prod Services Development",Time Warner,"Atlanta, GA",2018-10-27 17:37:08,https://www.indeed.com/viewjob?jk=73037bdb7e785739,nan,indeed,True,nan,nan,nan
Multi-Media Journalist,Tribune Media Company,"Memphis, TN",2018-10-27 17:37:08,https://www.indeed.com/viewjob?jk=ef36c9b23d7f4f7e,nan,indeed,True,nan,nan,nan
Multimedia Journalist - WZDC,NBCUniversal,"Washington, DC",2018-10-27 17:37:08,https://www.indeed.com/viewjob?jk=b92be88ae3f87963,nan,indeed,True,nan,nan,nan
Reporter/Producer_News,Nexstar Broadcasting,"Waco, TX",2018-10-26 17:38:54,https://www.indeed.com/viewjob?jk=a2b44d1fdb074532,nan,indeed,True,nan,nan,nan
Technical Director (Level 1 Journalist),Thomson Reuters,"New York, NY 10036",2018-10-26 17:38:38,https://www.indeed.com/viewjob?jk=523fdc52247bdfbf,nan,indeed,True,nan,nan,nan
Entertainment News Intern,Associated Press,"Los Angeles, CA 90012",2018-10-26 17:37:44,https://www.indeed.com/viewjob?jk=12ce4b4e350887aa,nan,indeed,True,nan,nan,nan
"Reporter, Multi-Media Journalist FT",Tribune Media Company,"Denver, CO",2018-10-26 17:37:21,https://www.indeed.com/viewjob?jk=3810e3560fc8297a,nan,indeed,True,nan,nan,nan
Data Journalist Intern,Associated Press,"Washington, DC",2018-10-26 17:37:12,https://www.indeed.com/viewjob?jk=38f86dae75d6cf6b,nan,indeed,True,11.0,nan,nan
Politics Editor (Editor in Charge),Thomson Reuters,"Washington, DC 20005 (Logan Circle area)",2018-10-25 17:39:56,https://www.indeed.com/viewjob?jk=9f55494a33b9b9db,nan,indeed,True,nan,nan,nan
News Reporter,Sioux City Journal,"Sioux City, IA",2018-10-25 17:38:11,https://www.indeed.com/viewjob?jk=e1cdde5fb0a4beb2,nan,indeed,True,nan,nan,nan
WKBW Multimedia Journalist,The E.W. Scripps Company,"Buffalo, NY 14202 (Central Business District area)",2018-10-25 17:37:27,https://www.indeed.com/viewjob?jk=2b74b00e75a28456,nan,indeed,True,nan,nan,nan
Multiple Media Journalist,Nexstar Broadcasting,"Minot, ND",2018-10-25 17:37:02,https://www.indeed.com/viewjob?jk=8b68159f4f588b4d,nan,indeed,True,nan,nan,nan
Sr. Staff Reporter - Federal Times,Sightline Media Group,"Washington, DC",2018-10-24 17:39:24,https://www.indeed.com/viewjob?jk=c14f466664ff0ff7,nan,indeed,True,nan,nan,nan
KPBS News Producer,SDSU Research Foundation,"San Diego, CA",2018-10-24 17:38:56,https://www.indeed.com/viewjob?jk=a02e734af687f1ba,nan,indeed,True,nan,nan,nan
Sporting News Winter/Spring Internship,PERFORM Group,"New York, NY",2018-10-24 17:38:13,https://www.indeed.com/viewjob?jk=0dcb4f3b9f1f4ecc,nan,indeed,True,nan,nan,nan
Senior Editor,The Telegraph (Macon),"Macon, GA",2018-10-24 17:38:00,https://www.indeed.com/viewjob?jk=f6ce5a72b12aa465,nan,indeed,True,1.0,nan,nan
Multimedia Journalist - WPTV,The E.W. Scripps Company,"West Palm Beach, FL 33401",2018-10-24 17:37:49,https://www.indeed.com/viewjob?jk=4b7ef58d57494df0,nan,indeed,True,nan,nan,nan
"Video Journalist, WSJ Films",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-24 17:37:34,https://www.indeed.com/viewjob?jk=47cc3c064f44e6da,nan,indeed,True,nan,nan,nan
Education Reporter,The North Carolina Justice Center,"Raleigh, NC 27601 (Central area)",2018-10-22 17:37:53,https://www.indeed.com/viewjob?jk=ac5190444705be6c,nan,indeed,True,nan,nan,nan
Copywriter / Copy Editor,Logitech,"Newark, CA 94560",2018-10-21 17:38:29,https://www.indeed.com/viewjob?jk=d3e019b765b378a3,nan,indeed,True,nan,nan,nan
Reporter/Multimedia Journalist-temporary opportunity,The E.W. Scripps Company,"Milwaukee, WI 53212 (Harambee area)",2018-10-20 17:38:18,https://www.indeed.com/viewjob?jk=b41268a22a639013,nan,indeed,True,nan,nan,nan
"Orange County Reporter, KABC-TV",Media Networks,"Glendale, CA",2018-10-20 17:38:07,https://www.indeed.com/viewjob?jk=59e0633c679ec009,nan,indeed,True,nan,nan,nan
"Sr. Video Journalist, News & Analysis",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-19 17:39:40,https://www.indeed.com/viewjob?jk=8a1f61b8248c161c,nan,indeed,True,nan,nan,nan
"Video Journalist, In-Depth Explanations",Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-19 17:37:49,https://www.indeed.com/viewjob?jk=930fbd364263dbd1,nan,indeed,True,nan,nan,nan
Social Video Journalist,Dow Jones,"New York, NY 10176 (Murray Hill area)",2018-10-19 17:37:42,https://www.indeed.com/viewjob?jk=5fe287dc5a14baa8,nan,indeed,True,nan,nan,nan
Community Journalist (Union),Media Networks,"San Francisco, CA",2018-10-19 17:37:00,https://www.indeed.com/viewjob?jk=236b90aef655fead,nan,indeed,True,nan,nan,nan
Digital-First Crime Reporter,The E.W. Scripps Company,"Indianapolis, IN 46202",2018-10-18 17:40:06,https://www.indeed.com/viewjob?jk=9ec18c2fa0c7560e,nan,indeed,True,nan,nan,nan
2018 Atlantic Council-Korea Foundation Journalist Fellowship Program,Atlantic Council,"Washington, DC",2018-10-18 17:38:31,https://www.indeed.com/viewjob?jk=dba88d9899f82642,nan,indeed,True,nan,nan,nan
Freelance Multi-Media Journalist - Various Locations,Spectrum,"El Segundo, CA",2018-10-18 17:37:10,https://www.indeed.com/viewjob?jk=9240e247bc963e14,nan,indeed,True,nan,nan,nan
Multimedia Journalist - Temporary,TEGNA,"Atlanta, GA",2018-10-17 17:37:19,https://www.indeed.com/viewjob?jk=7f1fcb0625c2840d,nan,indeed,True,nan,nan,nan
Reporter,Tribune Media Company,"Richmond, VA",2018-10-16 17:38:50,https://www.indeed.com/viewjob?jk=6f3a3de8aef43883,nan,indeed,True,nan,nan,nan
"Senior Editor, LCD",S&P GLOBAL MARKET INTELLIGENCE,United States,2018-10-16 17:38:16,https://www.indeed.com/viewjob?jk=18c28a492931d6df,nan,indeed,True,4.0,nan,nan
Reporter/Multi-Media Journalist,Tribune Media Company,"Huntsville, AL",2018-10-16 17:37:23,https://www.indeed.com/viewjob?jk=bc7fef7e18aa5086,nan,indeed,True,nan,nan,nan
Multimedia Journalist - Online,Digital First Media,"Troy, MI",2018-10-16 17:37:10,https://www.indeed.com/viewjob?jk=6342f93472f51787,nan,indeed,True,1.0,nan,nan
Lead Public Affairs Specialist/Journalist,Alaka`ina Foundation Family of Companies,"Falls Church, VA",2018-10-15 17:38:45,https://www.indeed.com/viewjob?jk=0a8d0cb0a2255efd,nan,indeed,True,nan,nan,nan
Public Affairs Specialist/Journalist,Alaka`ina Foundation Family of Companies,"Falls Church, VA",2018-10-15 17:37:58,https://www.indeed.com/viewjob?jk=85b940a93175aee9,nan,indeed,True,nan,nan,nan
"Assistant Editor, The Nation’s Health",American Public Health Association,"Washington, D.C.",2018-10-15 17:36:57,https://careers.journalists.org/jobs/11490194/assistant-editor-the-nation-s-health,nan,careers,True,nan,nan,nan
"Reporter, Virginia (15016)",American University,"Washington, D.C.",2018-09-15 17:36:57,https://careers.journalists.org/jobs/11408834/reporter-virginia-15016,nan,careers,True,nan,nan,nan
Reporter-MMJ,Nexstar Broadcasting,"Savannah, GA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=65563ea465196c41,nan,indeed,True,nan,nan,nan
State Political Reporter,Nexstar Broadcasting,"Topeka, KS",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0a50140d3ba5664c,nan,indeed,True,nan,nan,nan
Multi Media Journalist,TEGNA,"Minneapolis, MN",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=d67ff41e42594eef,nan,indeed,True,nan,nan,nan
Multi-Media Journalist - Orange County,Spectrum,"Santa Ana, CA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7d7c936dddd7a758,nan,indeed,True,nan,nan,nan
Senior Video Editor,The New York Times,"New York, NY",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dbf92af605dab4c0,nan,indeed,True,nan,nan,nan
Multimedia Journalist,Sightline Media Group,"Washington, DC",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=bebd1cdb1b1444bc,nan,indeed,True,nan,nan,nan
"Editor, Banking News",S&P Global,"Arlington, VA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=4d602daf75951437,nan,indeed,True,3.0,nan,nan
Senior Data Reporter,Southern Poverty Law Center,"Atlanta, GA 30317 (Edgewood-Kirkwood area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=386fdcab382a0483,nan,indeed,True,14.0,nan,nan
Journalist/Photographer,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,"Patuxent River, MD",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5da368680d751bad,nan,indeed,True,nan,nan,nan
Multi-Media Reporter - Telemundo Charlotte,Cox Media Group,"Charlotte, NC 28202 (Downtown Charlotte area)",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c451a74a8df1b795,nan,indeed,True,nan,nan,nan
Executive Editor,AccuWeather,"State College, PA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=dc643a838797ff91,nan,indeed,True,3.0,nan,nan
Contract Senior Content Editor,System1,"Bellevue, WA",# an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=595d1779f93217cb,nan,indeed,True,1.0,nan,nan
